popularity,vote_count,release_year,cluster
41.431,3561,2020,0
73.152,5463,2009,0
26.075,1251,1970,2
66.888,7225,2004,1
19.633,708,1955,2
22.234,1123,2007,0
10.179,781,2004,0
89.116,6271,1997,1
12.791,328,1936,2
31.796,764,2015,0
29.099,2106,1979,2
25.491,1357,2008,0
34.546,631,2022,0
111.95,8978,2021,1
158.818,13047,2017,1
33.387,1200,2012,0
29.565,2694,2011,0
17.483,328,2011,0
30.608,591,2000,0
100.518,6422,2000,1
94.575,6066,1997,1
131.986,3180,2021,0
75.841,2360,2018,0
18.473,534,1950,2
15.633,300,1938,2
20.573,779,1967,2
100.798,10331,2006,1
19.711,315,1994,0
35.707,3627,1999,0
224.224,5313,1978,1
26.731,430,2020,0
150.702,3356,2023,0
32.546,1905,2019,0
28.076,444,2016,0
12.203,930,2016,0
21.168,307,1963,2
75.586,7248,2007,1
74.897,8739,2005,1
91.172,2047,1960,2
33.148,1530,2022,0
20.78,2306,2003,0
33.499,6660,2013,0
20.281,606,1996,0
35.101,1337,2021,0
72.623,5647,2016,0
53.357,865,2010,0
53.465,2208,1982,2
180.686,2952,1987,2
82.428,371,2023,0
6.506,984,2018,0
15.892,345,1973,2
31.364,1720,1960,2
120.929,10368,1997,1
26.358,1584,2005,0
22.484,713,2018,0
52.287,2564,2014,0
128.601,3998,2002,0
84.492,7317,2006,1
14.651,550,1939,2
23.341,763,1995,0
114.273,3140,2022,0
44.543,2137,2018,0
22.293,2482,2015,0
159.692,11102,2013,1
33.392,759,2012,0
29.103,4247,1997,0
14.382,533,1964,2
31.288,1134,2013,0
14.354,363,1984,2
36.86,1820,1973,2
56.223,2089,2005,0
56.161,1084,1965,2
60.363,8086,2004,1
165.943,2591,1993,0
45.895,501,1993,2
14.137,348,1981,2
27.914,537,1980,2
13.089,320,2002,0
24.467,767,2020,0
11.126,617,2018,0
9.965,527,2013,0
14.459,691,2007,0
24.05,920,1938,2
25.409,1546,1955,2
108.233,1454,2019,0
28.094,841,1968,2
31.019,467,2019,0
48.91,7083,2011,0
30.956,2801,2008,0
31.733,1569,1992,2
60.799,3390,1992,2
20.993,1258,2017,0
32.89,1663,2011,0
12.029,584,1976,2
59.23,3485,2008,0
39.685,765,2023,0
33.596,333,2018,0
24.828,587,1970,2
24.357,1501,2001,0
41.31,318,2022,0
42.822,2823,2018,0
14.913,343,2013,0
27.731,748,1992,2
138.198,17636,2015,1
22.126,523,2020,0
199.555,8190,2021,1
17.775,971,1943,2
13.112,832,1975,2
48.345,1614,1974,2
15.801,846,1991,2
32.241,1214,2021,0
142.449,11504,2014,1
131.12,14837,2014,1
32.847,2853,2009,0
123.816,5932,2002,1
18.133,534,2001,0
91.384,3759,1994,0
75.54,650,1990,2
27.353,977,1979,2
42.929,5316,2004,0
142.26,548,1946,2
53.115,3891,1963,2
35.51,2643,1979,2
15.284,490,1998,0
25.838,1736,1971,2
15.725,474,2015,0
54.624,1687,1960,2
327.468,7685,1987,1
69.329,2017,2019,0
80.796,10071,2007,1
43.493,5446,1988,2
